,Food name,Category number,Category name,Protein (g),Water (g),"Fiber, total dietary (g)","Vitamin A, RAE (mcg)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Vitamin B-12 (mcg),"Folate, total (mcg)",Vitamin C (mg),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Zinc (mg),Energy (kcal),"Sugars, total (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Vitamin D (D2 + D3) (mcg),Category 2,Category 3
5075,"Macaroni and cheese, baby food, toddler",9008,Baby food: meat and dinners,3.5,81.7,0.5,19,0.04,0.09,0.79,0.05,0.06,25,0.0,102,0.6,9,18,264,0.43,82,0.79,2.6,1.53,0.7,0.17,7,0.0,,
5076,"Spaghetti, tomato sauce, and beef, baby food, junior",9008,Baby food: meat and dinners,2.57,84.17,1.1,63,0.048,0.068,0.967,0.064,0.03,27,0.2,15,0.53,11,122,30,0.53,68,2.72,1.37,0.543,0.497,0.185,5,0.0,,
5077,"Ravioli, cheese-filled, with tomato sauce, baby food, toddler",9008,Baby food: meat and dinners,3.6,76.5,0.1,51,0.12,0.14,1.65,0.09,0.05,36,0.1,54,0.8,7,32,282,0.35,99,0.59,2.2,0.96,0.57,0.48,7,0.0,,
5078,"Macaroni with vegetables, baby food, strained",9008,Baby food: meat and dinners,1.7,87.3,1.5,41,0.06,0.05,0.56,0.11,0.0,9,2.9,14,0.5,24,133,11,0.4,60,1.2,2.1,1.23,0.58,0.144,5,0.0,,
5079,"Meat substitute, cereal- and vegetable protein-based, fried",2806,Processed soy products,11.28,17.58,9.0,0,0.303,0.138,3.688,0.315,0.0,48,0.0,60,4.03,152,368,282,2.41,334,0.5,7.04,1.035,2.326,3.011,0,0.0,Soy Products,Veggie
5080,"Clementine, raw",6012,Citrus fruits,0.81,85.17,1.8,34,0.058,0.036,0.376,0.078,0.0,16,26.7,37,0.15,12,166,2,0.07,53,10.58,0.31,0.039,0.06,0.065,0,0.0,,
5081,"Grapefruit, raw",6012,Citrus fruits,0.77,88.06,1.6,58,0.043,0.031,0.204,0.053,0.0,13,31.2,22,0.08,9,135,0,0.07,42,6.89,0.14,0.021,0.02,0.036,0,0.0,,
5082,"Grapefruit, canned",6012,Citrus fruits,0.58,89.85,0.4,0,0.039,0.021,0.249,0.02,0.0,9,21.8,15,0.41,10,132,2,0.09,36,8.75,0.1,0.014,0.014,0.024,0,0.0,,
5083,"Kumquat, raw",6012,Citrus fruits,1.88,80.85,6.5,15,0.037,0.09,0.429,0.036,0.0,17,43.9,62,0.86,20,186,10,0.17,71,9.36,0.86,0.103,0.154,0.171,0,0.0,,
5084,"Lemon, raw",6012,Citrus fruits,1.1,88.98,2.8,1,0.04,0.02,0.1,0.08,0.0,11,53.0,26,0.6,8,138,2,0.06,29,2.5,0.3,0.039,0.011,0.089,0,0.0,,
5085,Lemon pie filling,8806,"Jams, syrups, toppings",4.72,19.21,0.4,85,0.061,0.183,0.43,0.065,0.22,23,9.4,23,0.94,7,75,77,0.47,344,62.22,6.76,1.643,2.825,1.681,115,0.8,,
5086,"Lime, raw",6012,Citrus fruits,0.7,88.26,2.8,2,0.03,0.02,0.2,0.043,0.0,8,29.1,33,0.6,6,102,2,0.11,30,1.69,0.2,0.022,0.019,0.055,0,0.0,,
5087,"Orange, raw",6012,Citrus fruits,0.94,86.75,2.4,11,0.087,0.04,0.282,0.06,0.0,30,53.2,40,0.1,10,181,0,0.07,47,9.35,0.12,0.015,0.023,0.025,0,0.0,,
5088,"Orange, canned, NFS",6012,Citrus fruits,0.6,87.27,0.7,42,0.08,0.028,0.434,0.041,0.0,5,33.3,11,0.26,11,130,5,0.5,46,11.14,0.04,0.003,0.005,0.005,0,0.0,,
5089,"Orange, canned, juice pack",6012,Citrus fruits,0.62,89.51,0.7,43,0.082,0.029,0.445,0.042,0.0,5,34.2,11,0.27,11,133,5,0.51,37,8.87,0.03,0.003,0.005,0.005,0,0.0,,
5090,"Orange, canned, in syrup",6012,Citrus fruits,0.59,85.04,0.7,41,0.078,0.028,0.423,0.04,0.0,5,32.5,10,0.26,10,126,5,0.48,54,13.42,0.04,0.003,0.005,0.005,0,0.0,,
5091,"Tangerine, raw",6012,Citrus fruits,0.81,85.17,1.8,34,0.058,0.036,0.376,0.078,0.0,16,26.7,37,0.15,12,166,2,0.07,53,10.58,0.31,0.039,0.06,0.065,0,0.0,,
5092,"Grapefruit juice, 100%, freshly squeezed",7002,Citrus juice,0.5,90.0,0.1,1,0.04,0.02,0.2,0.044,0.0,10,38.0,9,0.2,12,162,1,0.05,39,9.1,0.1,0.014,0.013,0.024,0,0.0,,
5093,"Grapefruit juice, 100%, NS as to form",7002,Citrus juice,0.55,90.9,0.2,2,0.062,0.02,0.253,0.0,0.0,12,39.4,16,0.07,10,141,1,0.04,37,7.72,0.7,0.082,0.093,0.175,1,0.0,,
5094,"Grapefruit juice, 100%, canned, bottled or in a carton",7002,Citrus juice,0.55,90.9,0.2,2,0.062,0.02,0.253,0.0,0.0,12,39.4,16,0.07,10,141,1,0.04,37,7.72,0.7,0.082,0.093,0.175,1,0.0,,
5095,"Grapefruit juice, 100%, with calcium added",7002,Citrus juice,0.51,90.77,0.3,16,0.038,0.03,0.2,0.044,0.0,12,22.2,146,0.06,9,132,2,0.04,39,7.96,0.68,0.173,0.16,0.296,0,0.0,,
5096,"Grapefruit juice,100%, frozen, reconstituted",7002,Citrus juice,0.55,89.3,0.1,1,0.041,0.022,0.216,0.043,0.0,4,33.5,10,0.14,11,135,4,0.06,41,9.55,0.13,0.018,0.018,0.032,0,0.0,,
5097,"Lemon juice, 100%, NS as to form",8406,Mustard and other condiments,0.35,92.31,0.3,0,0.024,0.015,0.091,0.046,0.0,20,38.7,6,0.08,6,103,1,0.05,22,2.52,0.24,0.04,0.006,0.021,0,0.0,,
5098,"Lemon juice, 100%, freshly squeezed",8406,Mustard and other condiments,0.35,92.31,0.3,0,0.024,0.015,0.091,0.046,0.0,20,38.7,6,0.08,6,103,1,0.05,22,2.52,0.24,0.04,0.006,0.021,0,0.0,,
5099,"Lemon juice, 100%, canned or bottled",8406,Mustard and other condiments,0.45,93.64,0.7,2,0.021,0.017,0.18,0.037,0.0,9,14.3,10,0.06,7,109,24,0.19,17,1.53,0.07,0.027,0.006,0.017,0,0.0,,
