,Food name,Category number,Category name,Protein (g),Water (g),"Fiber, total dietary (g)","Vitamin A, RAE (mcg)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Vitamin B-12 (mcg),"Folate, total (mcg)",Vitamin C (mg),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Zinc (mg),Energy (kcal),"Sugars, total (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Vitamin D (D2 + D3) (mcg),Category 2,Category 3
505,"Cheese, Gouda or Edam",1602,Cheese,24.94,41.46,0.0,165,0.03,0.334,0.063,0.08,1.54,21,0.0,700,0.24,29,121,819,3.9,356,2.22,27.44,17.614,7.747,0.657,114,0.5,Cheese,Animal
506,"Cheese, Gruyere",1602,Cheese,29.81,33.19,0.0,271,0.06,0.279,0.106,0.081,1.6,10,0.0,1011,0.17,36,81,714,3.9,413,0.36,32.34,18.913,10.043,1.733,110,0.6,Cheese,Animal
507,"Cheese, Limburger",1602,Cheese,20.05,48.42,0.0,340,0.08,0.503,0.158,0.086,1.04,58,0.0,497,0.13,21,128,800,2.1,327,0.49,27.25,16.746,8.606,0.495,90,0.5,Cheese,Animal
508,"Cheese, Monterey",1602,Cheese,24.48,41.01,0.0,198,0.015,0.39,0.093,0.079,0.83,18,0.0,746,0.72,27,81,600,3.0,373,0.5,30.28,19.066,8.751,0.899,89,0.6,Cheese,Animal
509,"Cheese, Monterey, reduced fat",1602,Cheese,28.2,46.0,0.0,142,0.02,0.36,0.09,0.08,0.83,18,0.0,705,0.72,27,81,781,3.0,313,0.56,21.6,14.04,5.64,0.84,65,0.4,Cheese,Animal
510,"Cheese, Mozzarella, NFS",1602,Cheese,23.7,47.7,0.0,203,0.023,0.36,0.101,0.09,1.65,26,0.0,693,0.2,27,116,699,3.62,298,1.81,20.4,11.7,4.65,0.744,65,0.4,Cheese,Animal
511,"Cheese, Mozzarella, part skim",1602,Cheese,23.7,47.7,0.0,203,0.023,0.36,0.101,0.09,1.65,26,0.0,693,0.2,27,116,699,3.62,298,1.81,20.4,11.7,4.65,0.744,65,0.4,Cheese,Animal
512,"Cheese, Mozzarella, reduced sodium",1602,Cheese,27.5,49.9,0.0,137,0.02,0.34,0.12,0.08,0.92,9,0.0,731,0.25,26,95,16,3.13,280,1.23,17.1,10.867,4.844,0.509,54,0.3,Cheese,Animal
513,"Cheese, Mozzarella, nonfat or fat free",1602,Cheese,31.7,60.2,1.8,127,0.02,0.3,0.12,0.08,0.92,10,0.0,961,0.31,33,106,743,3.92,141,1.48,0.0,0.0,0.0,0.0,18,0.0,Cheese,Animal
514,"Cheese, Muenster",1602,Cheese,23.41,41.77,0.0,298,0.013,0.32,0.103,0.056,1.47,12,0.0,717,0.41,27,134,628,2.81,368,1.12,30.04,19.113,8.711,0.661,96,0.6,Cheese,Animal
515,"Cheese, Muenster, reduced fat",1602,Cheese,24.7,50.5,0.0,175,0.01,0.36,0.1,0.06,1.47,12,0.0,529,0.41,27,134,600,2.81,271,3.5,17.6,10.95,5.09,0.65,63,0.3,Cheese,Animal
516,"Cheese, Parmesan, dry grated",1602,Cheese,29.6,22.8,0.0,228,0.027,0.345,0.078,0.081,1.35,6,0.0,884,0.45,35,184,1750,4.33,421,0.07,28.0,15.5,6.4,1.2,87,0.5,Cheese,Animal
517,"Cheese, Parmesan, dry grated, reduced fat",1602,Cheese,34.8,15.7,0.0,134,0.038,0.197,0.139,0.09,1.23,16,0.0,842,2.72,37,392,1450,3.66,396,0.78,16.5,9.305,3.923,0.693,54,0.2,Cheese,Animal
518,"Cheese, Parmesan, hard",1602,Cheese,29.6,22.8,0.0,228,0.027,0.345,0.078,0.081,1.35,6,0.0,884,0.45,35,184,1750,4.33,421,0.07,28.0,15.5,6.4,1.2,87,0.5,Cheese,Animal
519,"Cheese, Parmesan, dry grated, fat free",1602,Cheese,40.0,8.6,0.0,40,0.05,0.05,0.2,0.1,1.1,25,0.0,800,5.0,40,600,1150,3.0,370,1.5,5.0,3.11,1.446,0.186,20,0.0,Cheese,Animal
520,"Cheese, Port du Salut",1602,Cheese,24.94,41.46,0.0,165,0.03,0.334,0.063,0.08,1.54,21,0.0,700,0.24,29,121,819,3.9,356,2.22,27.44,17.614,7.747,0.657,114,0.5,Cheese,Animal
521,"Cheese, Provolone",1602,Cheese,25.58,40.95,0.0,236,0.019,0.321,0.156,0.073,1.46,10,0.0,756,0.52,28,138,727,3.23,351,0.56,26.62,17.078,7.393,0.769,69,0.5,Cheese,Animal
522,"Cheese, provolone, reduced fat",1602,Cheese,24.7,50.6,0.0,141,0.019,0.321,0.156,0.073,1.46,10,0.0,756,0.52,28,138,615,3.23,274,0.55,17.6,11.3,4.89,0.51,55,0.3,Cheese,Animal
523,"Cheese, Swiss",1602,Cheese,27.0,37.6,0.0,292,0.011,0.303,0.06,0.07,3.02,9,0.0,890,0.13,33,71,185,4.37,393,0.0,31.0,18.2,7.26,1.14,93,0.0,Cheese,Animal
524,"Cheese, Swiss, reduced sodium",1602,Cheese,28.4,37.8,0.0,216,0.02,0.37,0.09,0.08,1.68,6,0.0,961,0.17,36,111,14,3.9,374,1.31,27.4,17.744,7.256,0.968,92,0.5,Cheese,Animal
525,"Cheese, Swiss, reduced fat",1602,Cheese,28.4,59.6,0.0,40,0.02,0.36,0.09,0.08,1.68,6,0.0,961,0.17,36,111,199,3.9,179,1.33,5.1,3.304,1.351,0.18,35,0.1,Cheese,Animal
526,"Cheese, Swiss, nonfat or fat free",1602,Cheese,28.4,63.6,0.0,40,0.02,0.36,0.09,0.08,1.68,6,0.0,961,0.17,36,111,1000,3.9,127,1.33,0.0,0.0,0.0,0.0,18,0.1,Cheese,Animal
527,"Cheese, Cheddar, reduced sodium",1602,Cheese,24.35,38.98,0.0,264,0.021,0.375,0.086,0.076,0.83,18,0.0,703,0.72,27,112,21,3.09,398,0.49,32.62,20.768,9.189,0.972,100,0.6,Cheese,Animal
528,"Cheese, Mexican blend",1602,Cheese,23.54,42.48,0.0,174,0.023,0.318,0.114,0.061,1.23,13,0.0,659,0.59,25,85,607,3.01,358,1.23,28.51,17.027,7.871,0.864,95,0.5,Cheese,Animal
529,"Cheese, Mexican blend, reduced fat",1602,Cheese,24.69,48.2,0.0,155,0.03,0.3,0.06,0.084,1.66,20,0.0,1146,0.13,35,93,776,4.3,282,0.56,19.4,11.58,5.02,0.75,62,0.4,Cheese,Animal
530,"Queso Anejo, aged Mexican cheese",1602,Cheese,21.44,38.06,0.0,64,0.02,0.209,0.032,0.047,1.38,1,0.0,680,0.47,28,87,1131,2.94,373,4.63,29.98,19.033,8.528,0.901,105,0.5,Cheese,Animal
531,Queso Asadero,1602,Cheese,22.6,42.16,0.0,55,0.021,0.223,0.181,0.053,1.0,8,0.0,661,0.51,26,86,607,3.02,356,2.87,28.26,17.939,8.038,0.85,105,0.5,Cheese,Animal
532,Queso Fresco,1602,Cheese,18.09,51.42,0.0,224,0.042,0.173,0.027,0.076,1.68,7,0.0,566,0.2,24,129,751,2.58,299,2.32,23.82,12.94,5.966,1.106,69,2.7,Cheese,Animal
533,Queso cotija,1602,Cheese,20.0,38.0,0.0,229,0.029,0.486,0.114,0.049,2.26,10,0.0,800,0.0,38,125,1400,3.87,366,0.0,30.0,17.5,8.333,1.187,100,0.5,Cheese,Animal
534,"Cheese, cottage, NFS",1604,Cottage/ricotta cheese,11.0,81.1,0.0,69,0.02,0.234,0.09,0.057,0.42,10,0.0,103,0.13,9,120,321,0.61,84,4.1,2.3,1.26,0.469,0.072,12,0.0,Cheese,Animal
535,"Cheese, cottage, creamed, large or small curd",1604,Cottage/ricotta cheese,11.12,79.79,0.0,37,0.027,0.163,0.099,0.046,0.43,12,0.0,83,0.07,8,104,315,0.4,98,2.67,4.3,1.718,0.778,0.123,17,0.1,Cheese,Animal
536,"Cottage cheese, farmer's",1604,Cottage/ricotta cheese,10.49,75.19,0.0,83,0.025,0.154,0.093,0.043,0.41,11,0.0,78,0.07,8,98,297,0.38,143,2.52,9.8,5.198,2.394,0.329,31,0.1,Cheese,Animal
537,"Cheese, Ricotta",1604,Cottage/ricotta cheese,9.6,73.66,0.0,117,0.032,0.256,0.123,0.06,0.54,8,0.0,248,0.27,17,178,102,0.95,148,0.29,9.46,5.948,2.437,0.324,40,0.2,Cheese,Animal
538,"Cheese, cottage, with fruit",1604,Cottage/ricotta cheese,9.41,82.55,0.2,61,0.019,0.201,0.131,0.056,0.36,9,0.3,88,0.15,9,116,273,0.53,76,4.61,1.96,1.072,0.4,0.064,10,0.0,Cheese,Animal
539,"Cheese, cottage, with vegetables",1604,Cottage/ricotta cheese,9.78,81.42,0.7,91,0.028,0.217,0.204,0.06,0.36,11,0.5,91,0.23,11,127,278,0.59,81,3.95,1.98,1.076,0.4,0.072,10,0.0,Cheese,Animal
540,"Cheese, cottage, dry curd",1604,Cottage/ricotta cheese,10.34,81.01,0.0,2,0.023,0.226,0.144,0.016,0.46,9,0.0,86,0.15,11,137,372,0.47,72,1.85,0.29,0.169,0.079,0.003,7,0.0,Cheese,Animal
541,"Cheese, cottage, salted, dry curd",1604,Cottage/ricotta cheese,10.24,80.2,0.0,2,0.023,0.224,0.143,0.016,0.46,9,0.0,86,0.15,11,136,755,0.46,71,1.83,0.29,0.167,0.078,0.003,7,0.0,Cheese,Animal
542,Puerto Rican white cheese,1604,Cottage/ricotta cheese,18.09,51.42,0.0,224,0.042,0.173,0.027,0.076,1.68,7,0.0,566,0.2,24,129,751,2.58,299,2.32,23.82,12.94,5.966,1.106,69,2.7,Cheese,Animal
543,"Cheese, cottage, low fat",1604,Cottage/ricotta cheese,11.0,81.1,0.0,69,0.02,0.234,0.09,0.057,0.42,10,0.0,103,0.13,9,120,321,0.61,84,4.1,2.3,1.26,0.469,0.072,12,0.0,Cheese,Animal
544,"Cheese, cottage, lowfat, with fruit",1604,Cottage/ricotta cheese,7.32,80.24,0.4,46,0.038,0.163,0.218,0.073,0.27,12,15.3,71,0.18,10,113,209,0.44,82,8.81,1.54,0.822,0.309,0.06,8,0.0,Cheese,Animal
545,"Cheese, cottage, lowfat, low sodium",1604,Cottage/ricotta cheese,12.4,83.5,0.0,11,0.02,0.16,0.13,0.07,0.63,12,0.0,61,0.14,5,86,13,0.38,72,2.7,1.0,0.632,0.284,0.031,4,0.0,Cheese,Animal
546,"Cheese, cottage, lowfat, lactose reduced",1604,Cottage/ricotta cheese,11.0,81.1,0.0,69,0.02,0.234,0.09,0.057,0.42,10,0.0,103,0.13,9,120,321,0.61,84,4.1,2.3,1.26,0.469,0.072,12,0.0,Cheese,Animal
547,"Cream cheese, regular, plain",8006,"Cream cheese, sour cream, whipped cream",6.15,52.62,0.0,308,0.023,0.23,0.091,0.056,0.22,9,0.0,97,0.11,9,132,314,0.5,350,3.76,34.44,20.213,8.907,1.483,101,0.0,,
548,"Cream cheese, regular, flavored",8006,"Cream cheese, sour cream, whipped cream",7.11,60.44,0.0,146,0.036,0.169,0.113,0.041,0.83,17,0.0,134,0.16,7,224,465,0.52,217,14.31,13.87,8.241,3.62,0.596,49,0.3,,
549,"Cream cheese, light",8006,"Cream cheese, sour cream, whipped cream",7.85,66.72,0.0,161,0.04,0.185,0.125,0.045,0.92,19,0.0,148,0.17,8,247,359,0.57,201,5.82,15.28,9.098,3.996,0.658,54,0.3,,
550,"Cheese, American and Swiss blends",1602,Cheese,18.0,39.6,0.0,300,0.015,0.247,0.095,0.056,1.45,8,0.0,866,0.48,25,149,1660,2.42,366,2.63,30.6,18.1,7.3,1.09,98,7.5,Cheese,Animal
551,"Cheese, American",1602,Cheese,16.09,45.07,0.0,270,0.04,0.425,0.17,0.124,1.52,18,0.0,1375,0.95,34,295,1279,2.21,307,6.24,23.06,12.931,5.655,0.99,78,6.5,Cheese,Animal
552,"Cheese, American, reduced fat",1602,Cheese,17.6,51.8,0.0,250,0.07,0.48,0.18,0.08,1.11,18,0.0,529,0.2,33,330,1201,2.36,240,8.02,14.1,8.85,4.13,0.41,53,5.3,Cheese,Animal
553,"Cheese, American, nonfat or fat free",1602,Cheese,21.05,65.47,0.0,56,0.412,0.545,5.56,0.567,1.85,9,0.0,789,0.0,115,393,1316,4.11,126,5.26,0.0,0.0,0.0,0.0,26,0.1,Cheese,Animal
554,"Cheese, American, reduced sodium",1602,Cheese,22.2,42.8,0.0,254,0.03,0.35,0.07,0.07,0.7,8,0.0,616,0.39,22,162,7,2.99,376,0.45,31.19,19.651,8.932,0.988,94,0.6,Cheese,Animal
555,"Cheese spread, American or Cheddar cheese base, reduced fat",1602,Cheese,13.41,61.82,0.0,185,0.038,0.442,0.153,0.099,1.17,0,0.0,557,0.36,27,250,1102,1.81,176,7.06,8.88,5.647,2.458,0.415,38,0.0,Cheese,Animal
556,"Cream cheese spread, fat free",8006,"Cream cheese, sour cream, whipped cream",15.69,71.87,0.0,11,0.04,0.265,0.23,0.05,0.95,35,0.0,351,0.19,22,278,702,1.5,105,5.48,1.0,0.644,0.25,0.057,12,0.0,,
557,"Cheese, processed cheese food",1602,Cheese,16.09,45.07,0.0,270,0.04,0.425,0.17,0.124,1.52,18,0.0,1375,0.95,34,295,1279,2.21,307,6.24,23.06,12.931,5.655,0.99,78,6.5,Cheese,Animal
558,"Cheese, processed, with vegetables",1602,Cheese,14.3,46.09,0.1,300,0.025,0.323,0.097,0.07,0.62,15,4.2,393,0.21,18,105,922,2.04,358,1.97,32.13,18.476,7.638,1.25,94,0.3,Cheese,Animal
559,"Cheese,  with wine",1602,Cheese,16.09,45.07,0.0,270,0.04,0.425,0.17,0.124,1.52,18,0.0,1375,0.95,34,295,1279,2.21,307,6.24,23.06,12.931,5.655,0.99,78,6.5,Cheese,Animal
560,"Cheese spread, American or Cheddar cheese base",1602,Cheese,16.41,47.65,0.0,173,0.048,0.431,0.131,0.117,0.4,7,0.0,562,0.33,29,242,1625,2.59,290,7.32,21.23,13.327,6.219,0.624,55,0.4,Cheese,Animal
561,"Cheese spread, Swiss cheese base",1602,Cheese,16.41,47.65,0.0,173,0.048,0.431,0.131,0.117,0.4,7,0.0,562,0.33,29,242,1625,2.59,290,7.32,21.23,13.327,6.219,0.624,55,0.4,Cheese,Animal
562,"Cheese spread, cream cheese, regular",8006,"Cream cheese, sour cream, whipped cream",7.1,58.5,0.0,302,0.02,0.19,0.95,0.04,0.4,12,0.0,71,1.13,6,112,436,0.51,295,3.5,28.6,18.02,8.071,1.033,90,0.5,,
563,"Cheese spread, cream cheese, light",8006,"Cream cheese, sour cream, whipped cream",7.85,66.72,0.0,161,0.04,0.185,0.125,0.045,0.92,19,0.0,148,0.17,8,247,359,0.57,201,5.82,15.28,9.098,3.996,0.658,54,0.3,,
564,"Cheese spread, pressurized can",1602,Cheese,16.41,47.65,0.0,173,0.048,0.431,0.131,0.117,0.4,7,0.0,562,0.33,29,242,1625,2.59,290,7.32,21.23,13.327,6.219,0.624,55,0.4,Cheese,Animal
565,Imitation cheese,1602,Cheese,25.0,38.0,0.0,115,0.03,0.36,0.08,0.07,0.83,18,0.0,705,0.7,30,55,670,3.0,390,1.0,32.0,5.815,14.127,10.615,15,0.0,Cheese,Animal
566,"Cheese, cottage cheese, with gelatin dessert",1604,Cottage/ricotta cheese,6.55,81.91,0.0,20,0.015,0.091,0.054,0.025,0.23,7,0.0,46,0.05,5,56,204,0.22,80,7.66,2.32,0.925,0.419,0.066,9,0.1,Cheese,Animal
567,"Cheese, cottage cheese, with gelatin dessert and fruit",1604,Cottage/ricotta cheese,5.11,82.96,0.4,20,0.017,0.073,0.172,0.038,0.18,6,0.8,37,0.13,6,77,156,0.2,72,8.52,1.77,0.703,0.321,0.057,7,0.0,Cheese,Animal
568,"Cheese, cottage cheese, with gelatin dessert and vegetables",1604,Cottage/ricotta cheese,7.71,82.12,0.2,44,0.023,0.113,0.113,0.044,0.28,10,3.2,58,0.08,7,90,230,0.28,82,5.37,2.85,1.136,0.514,0.087,11,0.1,Cheese,Animal
569,Cheese ball,1602,Cheese,18.09,35.32,1.5,206,0.13,0.307,0.986,0.196,0.66,34,0.9,393,0.78,51,198,546,2.78,426,1.74,38.06,14.637,7.934,11.122,71,0.4,Cheese,Animal
570,Artichoke dip,8412,"Dips, gravies, other sauces",3.65,55.65,0.9,62,0.024,0.1,0.205,0.049,0.2,18,2.0,101,0.24,13,120,601,0.53,331,2.08,33.12,8.274,7.527,15.171,39,0.1,,
571,Spinach and artichoke dip,8412,"Dips, gravies, other sauces",4.0,55.79,1.2,141,0.029,0.12,0.241,0.05,0.2,32,1.6,118,0.46,22,138,614,0.56,330,1.52,33.21,8.291,7.524,15.211,39,0.1,,
572,Seafood dip,8412,"Dips, gravies, other sauces",5.97,54.56,0.2,61,0.018,0.09,0.132,0.04,0.3,7,1.5,117,0.44,12,93,708,0.73,338,1.95,33.25,8.288,7.54,15.243,73,0.1,,
573,Cheese dip with chili pepper,8412,"Dips, gravies, other sauces",3.14,73.72,0.7,33,0.012,0.065,0.136,0.043,0.25,6,0.4,98,0.14,8,105,796,0.41,143,1.95,9.51,2.491,2.762,3.643,9,0.0,,
574,Cheese dip,8412,"Dips, gravies, other sauces",3.24,74.1,0.3,20,0.076,0.087,0.584,0.013,0.09,17,0.0,74,0.53,6,24,651,0.35,160,0.29,13.02,3.097,5.066,4.339,8,0.1,,
575,Topping from cheese pizza,3602,Pizza,16.86,57.35,1.0,156,0.025,0.279,2.311,0.145,0.62,21,1.1,485,0.58,29,261,713,2.57,228,4.38,14.67,8.024,3.366,0.793,45,0.3,,
576,Topping from vegetable pizza,3602,Pizza,15.59,52.83,1.9,146,0.045,0.257,2.189,0.212,0.54,25,17.3,455,2.18,32,311,805,2.39,245,5.75,15.61,7.622,4.803,0.891,40,0.2,,
577,Topping from meat pizza,3602,Pizza,19.19,46.9,0.7,105,0.145,0.29,3.973,0.244,0.89,14,0.7,314,0.97,27,302,934,2.74,321,3.2,24.52,10.647,8.921,2.698,68,0.7,,
578,Topping from meat and vegetable pizza,3602,Pizza,17.55,49.29,1.0,98,0.144,0.268,3.655,0.272,0.8,17,11.0,286,0.97,27,322,837,2.5,299,4.09,22.03,9.55,8.0,2.445,61,0.6,,
579,Cheese fondue,8412,"Dips, gravies, other sauces",19.31,55.05,0.0,188,0.03,0.204,0.157,0.053,1.09,8,0.0,639,0.3,27,85,303,2.8,276,0.53,21.2,12.415,5.788,0.966,68,0.2,,
580,Cheese souffle,2502,Eggs and omelets,9.45,66.86,0.1,179,0.057,0.282,0.32,0.072,0.39,19,0.0,192,0.74,15,132,327,1.2,204,2.46,15.7,8.669,4.139,1.031,144,1.2,Other Animal Products,Animal
581,Welsh rarebit,8412,"Dips, gravies, other sauces",7.49,72.4,0.1,150,0.055,0.212,0.223,0.049,0.38,7,0.1,241,0.14,16,151,280,1.07,164,4.22,12.12,5.377,3.682,1.481,26,1.2,,
582,"Cheese sandwich, NFS",3720,Cheese sandwiches (single code),12.17,39.56,1.4,111,0.315,0.316,2.87,0.105,0.63,73,0.0,690,2.37,30,190,807,1.43,285,5.71,11.61,5.807,2.75,1.508,32,2.7,,
583,"Cheese sandwich, American cheese, on white bread, no spread",3720,Cheese sandwiches (single code),12.17,39.56,1.4,111,0.315,0.316,2.87,0.105,0.63,73,0.0,690,2.37,30,190,807,1.43,285,5.71,11.61,5.807,2.75,1.508,32,2.7,,
584,"Cheese sandwich, American cheese, on wheat bread, no spread",3720,Cheese sandwiches (single code),13.33,40.29,3.2,111,0.25,0.301,2.942,0.145,0.63,50,0.1,661,2.24,47,232,799,1.71,281,5.63,11.83,5.748,2.712,1.329,32,2.7,,
585,"Cheese sandwich, American cheese, on whole wheat bread, no spread",3720,Cheese sandwiches (single code),13.33,40.29,3.2,111,0.25,0.301,2.942,0.145,0.63,50,0.1,661,2.24,47,232,799,1.71,281,5.63,11.83,5.748,2.712,1.329,32,2.7,,
586,"Cheese sandwich, Cheddar cheese, on white bread, no spread",3720,Cheese sandwiches (single code),15.14,36.07,1.4,130,0.31,0.323,2.821,0.083,0.44,74,0.0,415,2.04,27,101,550,2.03,327,3.28,16.11,8.389,3.485,1.586,41,0.2,,
587,"Cheese sandwich, Cheddar cheese, on wheat bread, no spread",3720,Cheese sandwiches (single code),16.3,36.8,3.2,130,0.245,0.307,2.894,0.123,0.44,51,0.1,386,1.92,44,143,541,2.31,323,3.2,16.34,8.329,3.447,1.407,41,0.2,,
588,"Cheese sandwich, Cheddar cheese, on whole wheat bread, no spread",3720,Cheese sandwiches (single code),16.3,36.8,3.2,130,0.245,0.307,2.894,0.123,0.44,51,0.1,386,1.92,44,143,541,2.31,323,3.2,16.34,8.329,3.447,1.407,41,0.2,,
589,"Cheese sandwich, reduced fat American cheese, on white bread, no spread",3720,Cheese sandwiches (single code),12.79,42.33,1.4,103,0.327,0.339,2.874,0.087,0.46,73,0.0,342,2.06,29,205,775,1.49,258,6.44,7.92,4.127,2.122,1.269,22,2.2,,
590,"Cheese sandwich, reduced fat American cheese, on wheat bread, no spread",3720,Cheese sandwiches (single code),13.95,43.06,3.2,103,0.262,0.324,2.946,0.127,0.46,50,0.1,313,1.94,47,247,767,1.77,254,6.36,8.14,4.068,2.084,1.09,22,2.2,,
591,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, no spread",3720,Cheese sandwiches (single code),13.95,43.06,3.2,103,0.262,0.324,2.946,0.127,0.46,50,0.1,313,1.94,47,247,767,1.77,254,6.36,8.14,4.068,2.084,1.09,22,2.2,,
592,"Cheese sandwich, reduced fat Cheddar cheese, on white bread, no spread",3720,Cheese sandwiches (single code),16.81,39.24,1.4,60,0.307,0.305,2.86,0.089,0.58,74,0.0,437,2.03,27,95,539,2.35,289,3.25,10.52,5.672,2.606,1.468,31,0.1,,
593,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, no spread",3720,Cheese sandwiches (single code),17.97,39.97,3.2,60,0.242,0.289,2.932,0.129,0.58,51,0.1,408,1.9,44,137,531,2.63,285,3.17,10.74,5.613,2.568,1.289,31,0.1,,
594,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, no spread",3720,Cheese sandwiches (single code),17.97,39.97,3.2,60,0.242,0.289,2.932,0.129,0.58,51,0.1,408,1.9,44,137,531,2.63,285,3.17,10.74,5.613,2.568,1.289,31,0.1,,
595,"Cheese sandwich, American cheese, on white bread, with mayonnaise",3720,Cheese sandwiches (single code),10.82,37.4,1.2,100,0.278,0.28,2.524,0.093,0.56,65,0.0,608,2.11,26,170,786,1.27,333,5.09,19.24,6.519,4.451,6.719,33,2.4,,
596,"Cheese sandwich, American cheese, on wheat bread, with mayonnaise",3720,Cheese sandwiches (single code),11.84,38.04,2.8,100,0.221,0.267,2.587,0.129,0.56,45,0.1,582,2.0,42,207,779,1.52,330,5.02,19.44,6.467,4.418,6.562,33,2.4,,
597,"Cheese sandwich, American cheese, on whole wheat bread, with mayonnaise",3720,Cheese sandwiches (single code),11.84,38.04,2.8,100,0.221,0.267,2.587,0.129,0.56,45,0.1,582,2.0,42,207,779,1.52,330,5.02,19.44,6.467,4.418,6.562,33,2.4,,
598,"Cheese sandwich, Cheddar cheese, on white bread, with mayonnaise",3720,Cheese sandwiches (single code),13.43,34.33,1.2,116,0.274,0.286,2.481,0.074,0.4,66,0.0,366,1.82,24,91,560,1.8,369,2.95,23.2,8.789,5.097,6.788,41,0.2,,
599,"Cheese sandwich, Cheddar cheese, on wheat bread, with mayonnaise",3720,Cheese sandwiches (single code),14.45,34.98,2.8,116,0.217,0.273,2.545,0.109,0.4,46,0.1,340,1.71,39,128,553,2.05,366,2.88,23.4,8.737,5.064,6.631,41,0.2,,
600,"Cheese sandwich, Cheddar cheese, on whole wheat bread, with mayonnaise",3720,Cheese sandwiches (single code),14.45,34.98,2.8,116,0.217,0.273,2.545,0.109,0.4,46,0.1,340,1.71,39,128,553,2.05,366,2.88,23.4,8.737,5.064,6.631,41,0.2,,
601,"Cheese sandwich, reduced fat American cheese, on white bread, with mayonnaise",3720,Cheese sandwiches (single code),11.37,39.83,1.2,92,0.289,0.3,2.527,0.078,0.42,65,0.0,302,1.84,26,182,758,1.33,309,5.74,16.0,5.041,3.899,6.509,24,1.9,,
602,"Cheese sandwich, reduced fat American cheese,, on wheat bread, with mayonnaise",3720,Cheese sandwiches (single code),12.38,40.48,2.8,92,0.232,0.287,2.591,0.113,0.42,45,0.1,276,1.73,41,219,751,1.58,305,5.66,16.2,4.989,3.865,6.352,24,1.9,,
603,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, with mayonnaise",3720,Cheese sandwiches (single code),12.38,40.48,2.8,92,0.232,0.287,2.591,0.113,0.42,45,0.1,276,1.73,41,219,751,1.58,305,5.66,16.2,4.989,3.865,6.352,24,1.9,,
604,"Cheese sandwich, reduced fat Cheddar cheese, on white bread, with mayonnaise",3720,Cheese sandwiches (single code),14.9,37.11,1.2,54,0.271,0.27,2.515,0.079,0.52,65,0.0,386,1.81,24,86,551,2.08,336,2.92,18.28,6.4,4.324,6.684,33,0.1,,
605,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, with mayonnaise",3720,Cheese sandwiches (single code),15.92,37.76,2.8,54,0.214,0.257,2.578,0.114,0.52,45,0.1,360,1.7,39,123,543,2.33,333,2.86,18.48,6.348,4.29,6.527,33,0.1,,
606,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, with mayonnaise",3720,Cheese sandwiches (single code),15.92,37.76,2.8,54,0.214,0.257,2.578,0.114,0.52,45,0.1,360,1.7,39,123,543,2.33,333,2.86,18.48,6.348,4.29,6.527,33,0.1,,
607,"Cheese sandwich, American cheese, on white bread, with butter",3720,Cheese sandwiches (single code),10.77,37.52,1.2,187,0.277,0.282,2.527,0.229,0.56,64,0.0,610,2.08,26,170,790,1.26,331,5.03,19.22,9.447,5.11,2.798,44,2.5,,
608,"Cheese sandwich, American cheese, on wheat bread, with butter",3720,Cheese sandwiches (single code),11.79,38.16,2.8,187,0.221,0.268,2.591,0.264,0.56,44,0.1,584,1.98,42,207,782,1.51,327,4.96,19.42,9.395,5.077,2.641,44,2.5,,
609,"Cheese sandwich, American cheese, on whole wheat bread, with butter",3720,Cheese sandwiches (single code),11.79,38.16,2.8,187,0.221,0.268,2.591,0.264,0.56,44,0.1,584,1.98,42,207,782,1.51,327,4.96,19.42,9.395,5.077,2.641,44,2.5,,
610,"Cheese sandwich, Cheddar cheese, on white bread, with butter",3720,Cheese sandwiches (single code),13.38,34.45,1.2,203,0.273,0.288,2.485,0.209,0.4,65,0.0,368,1.8,24,91,564,1.79,367,2.89,23.18,11.717,5.757,2.867,52,0.4,,
611,"Cheese sandwich, Cheddar cheese, on wheat bread, with butter",3720,Cheese sandwiches (single code),14.4,35.09,2.8,203,0.217,0.274,2.548,0.244,0.4,45,0.1,342,1.69,39,128,556,2.04,364,2.82,23.38,11.665,5.723,2.71,52,0.4,,
612,"Cheese sandwich, Cheddar cheese, on whole wheat bread, with butter",3720,Cheese sandwiches (single code),14.4,35.09,2.8,203,0.217,0.274,2.548,0.244,0.4,45,0.1,342,1.69,39,128,556,2.04,364,2.82,23.38,11.665,5.723,2.71,52,0.4,,
613,"Cheese sandwich, reduced fat American cheese, on white bread, with butter",3720,Cheese sandwiches (single code),11.32,39.95,1.2,180,0.288,0.302,2.531,0.213,0.42,64,0.0,303,1.81,26,183,762,1.32,306,5.67,15.98,7.97,4.558,2.588,35,2.1,,
